Name, Color, Rarity, # Seen, ALSA, # Picked, ATA, # GP, GP WR, # OH, OH WR, # GD, GD WR, # GIH, GIH WR, # GND, GND WR, IWD
Fable of the Mirror-Breaker, R, R, 11759, 1.59, 8774, 1.55, 50232, 59.2, 8897, 71.2, 13216, 64.2, 22113, 67.0, 28152, 53.0, 14.0
Flame Discharge, R, U, 79980, 3.51, 16618, 4.48, 80583, 54.3, 13597, 53.1, 19338, 55.3, 32935, 54.4, 47664, 54.2, 0.2
Gift of Wrath, R, C, 354577, 8.57, 37160, 12.37, 25492, 54.1, 3979, 52.7, 5853, 53.8, 9832, 53.3, 15670, 54.6, -1.2
Go-Shintai of Ancient Wars, R, U, 93302, 4.17, 15630, 5.65, 54790, 52.3, 9433, 50.5, 13997, 53.0, 23430, 52.0, 31394, 52.5, -0.5
Goro-Goro Disciple of Ryusei, R, R, 13176, 1.77, 6514, 1.74, 32866, 55.3, 5871, 57.9, 7736, 56.7, 13607, 57.3, 19274, 53.9, 3.4
Heiko Yamazaki the General, R, U, 93588, 4.19, 14734, 5.68, 60228, 53.0, 9839, 50.3, 14514, 53.2, 24353, 52.0, 35926, 53.6, -1.6
Invoke Calamity, R, R, 41709, 5.15, 5452, 7.86, 1274, 49.1, 194, , 300, 49.7, 494, 46.8, 780, 50.6, -3.9
Ironhoof Boar, R, C, 315352, 6.16, 45179, 8.67, 167997, 55.2, 26581, 53.7, 39642, 56.7, 66223, 55.5, 101841, 55.1, 0.4
Kami of Industry, R, C, 355096, 8.46, 41668, 11.95, 41457, 53.2, 6430, 51.0, 10105, 54.4, 16535, 53.1, 24951, 53.3, -0.2
Kami's Flare, R, C, 209255, 3.74, 45172, 4.84, 235732, 56.2, 40455, 56.4, 55321, 57.8, 95776, 57.2, 140012, 55.4, 1.7
Kindled Fury, R, C, 361211, 9.28, 39215, 13.07, 12699, 51.9, 1966, 49.9, 2770, 48.7, 4736, 49.2, 7966, 53.5, -4.3
Kumano Faces Kakkazan, R, U, 129902, 4.18, 28635, 5.18, 137714, 57.6, 24243, 66.3, 30913, 54.5, 55156, 59.6, 82594, 56.3, 3.3
Lizard Blades, R, R, 13086, 1.76, 6521, 1.78, 33426, 54.9, 5956, 56.7, 8127, 57.4, 14083, 57.1, 19360, 53.4, 3.7
March of Reckless Joy, R, R, 38207, 4.75, 5712, 6.74, 10512, 52.8, 1739, 45.4, 2512, 52.1, 4251, 49.4, 6264, 55.2, -5.8
Ogre-Head Helm, R, R, 15990, 2.06, 6899, 2.12, 34541, 55.1, 6012, 56.3, 8353, 55.6, 14365, 55.9, 20201, 54.5, 1.4
Peerless Samurai, R, C, 336100, 7.40, 33584, 10.97, 59793, 52.2, 10331, 51.6, 13746, 51.6, 24077, 51.6, 35744, 52.6, -1.1
Rabbit Battery, R, U, 83974, 3.63, 20167, 4.52, 104692, 56.3, 18452, 59.5, 23832, 54.9, 42284, 56.9, 62438, 56.0, 0.9
Reinforced Ronin, R, U, 97798, 4.35, 15976, 5.91, 71017, 54.4, 12465, 53.7, 16256, 52.7, 28721, 53.1, 42325, 55.2, -2.1
Scrap Welder, R, R, 29362, 3.70, 5978, 4.57, 21313, 54.3, 3565, 52.5, 5083, 54.0, 8648, 53.4, 12678, 55.0, -1.6
Scrapyard Steelbreaker, R, C, 341597, 7.44, 44668, 10.45, 103519, 53.4, 16628, 51.8, 24860, 53.0, 41488, 52.5, 62086, 54.0, -1.5
Seismic Wave, R, U, 92255, 4.10, 18162, 5.28, 81238, 55.5, 13660, 54.3, 19440, 58.0, 33100, 56.5, 48161, 54.9, 1.6
The Shattered States Era, R, C, 382491, 8.07, 38580, 11.93, 28760, 54.0, 4309, 52.3, 6485, 54.8, 10794, 53.8, 17971, 54.2, -0.4
Simian Sling, R, C, 309352, 6.07, 49617, 8.18, 215543, 56.0, 37834, 56.5, 48632, 54.4, 86466, 55.3, 129114, 56.5, -1.2
Sokenzan Smelter, R, U, 99560, 4.48, 21713, 5.59, 99011, 56.8, 17476, 58.6, 22558, 56.0, 40034, 57.1, 59012, 56.6, 0.5
